Arrondissement,Quartier
Douala I,Bali
Douala I,Bonamikengue
Douala I,Bessengue
Douala I,Bonamoudourou
Douala I,Bona Bekombo
Douala I,Akwa
Douala I,Bonadibong
Douala I,Bonamouti
Douala I,Deïdo
Douala I,Bonadouma
Douala I,Bonanjo
Douala I,Bonadoumbé
Douala I,Bonapriso
Douala I,Bonajinje
Douala I,Bonateki
Douala I,Bonakouamouang
Douala I,Bonatene
Douala I,Bonalembe
Douala I,Bonantone
Douala I,Bonajang
Douala I,Hydrocarbures
Douala I,Bonelang
Douala I,Plateau Joss
Douala I,Bonoleke
Douala I,Koumassi
Douala I,Akwa
Douala I,Ngodi
Douala I,Grand Moulin
Douala I,Nkongmondo
Douala I,Akwa Nord
Douala I,Deido
Douala II,Aéroport
Douala II,Babylone I
Douala II,Babylone II
Douala II,Bonadouma
Douala II,Congo
Douala II,Kassalafam
Douala II,Lagos Market
Douala II,New Bell
Douala II,Mbam Ewondo
Douala II,Ndjong-Mebi
Douala II,Nkololoum
Douala II,Ngangue
Douala II,New Bell
Douala II,Sabenjongo
Douala II,Source
Douala II,T.S.F
Douala II,Youpwé
Douala III,Bonanloka
Douala III,Bilongue
Douala III,Bobongo
Douala III,Boko
Douala III,Bonadiwoto
Douala III,Brazzaville
Douala III,Cité Berge
Douala III,Cité de la Paix
Douala III,Dibom
Douala III,Japoma
Douala III,Logbaba
Douala III,Brazzaville
Douala III,Madiba
Douala III,Yassa
Douala III,Ndogbati
Douala III,Ndoghem II
Douala III,Ndogpassi
Douala III,Ndogsimbi
Douala III,Ndokoti
Douala III,Nkongui
Douala III,Nyalla
Douala III,Nylon
Douala III,Oyack
Douala III,Pk 10
Douala III,Pk 9
Douala III,Pk 11
Douala III,Bonamoutongo
Douala III,Pk 7
Douala III,Kondi
Douala III,Pom Lien
Douala III,Sincatex
Douala III,So-Boum
Douala III,Song-Mahop
Douala III,Song-Ngongag
Douala III,Sopom
Douala III,Tergal
Douala III,Mbanga Bakoko
Douala III,Pk 17
Douala III,Pk 21
Douala IV,Bonandale
Douala IV,Besseke
Douala IV,Bilingue
Douala IV,Bonamatoumbe
Douala IV,Bonambappe
Douala IV,Bonaminkano
Douala IV,Bonassama
Douala IV,Djébalè
Douala IV,Mambanda
Douala IV,Ndobo
Douala IV,Ngwele
Douala IV,Nkomba
Douala IV,Sodiko
Douala IV,Bwapé
Douala V,Bangue
Douala V,Beedi
Douala V,Bepanda
Douala V,Bonabeyike
Douala V,Bonamoussadi
Douala V,Bonangando
Douala V,Bonangang
Douala V,Cacao-Barry
Douala V,Cité des palmiers
Douala V,Cité Sic
Douala V,Dikahe
Douala V,Emene City
Douala V,Gentil
Douala V,Jourdain
Douala V,Kotto
Douala V,Lendi
Douala V,Logbessou
Douala V,Logpom
Douala V,Makepe
Douala V,Malangue
Douala V,Manike
Douala V,Mbengue City
Douala V,Ndogbati
Douala V,Ndogbong
Douala V,Ndoghem
Douala V,Ndogmbe
Douala V,Ngoma
Douala V,Nguereck
Douala V,Bomkul
Douala V,NKondi
Douala V,Ange Raphaël
Douala V,Nguibassal
Douala V,Sobikago
Douala V,Sodikombo
Douala V,Ndogsimbi
Douala VI,Manoka
Douala VI,Dahomey
Douala VI,Number One Creek
Douala VI,Nyangadou
Douala VI,Mbénadikoumé
Douala VI,Epaka I
Douala VI,Epaka II
Douala VI,BuBessoukoudou
Douala VI,Moukala Tanda
Douala VI,Kombo
Douala VI,Bouma
Douala VI,Moungangué
Douala VI,Kombo Moukoko
Douala VI,"Poka I,"
Douala VI,Akra Kombo
Douala VI,"Cap Cameroun,"
Douala VI,Petit Toubé
Douala VI,Bikoro
Douala VI,Koo
Douala VI,Missipi
Douala VI,Matanda Massadi
